4.176144,0
4.6821,3
5.61994,0
6.209644,3
7.061581,1
8.591448,4
10.17841,7
11.84258,0
12.43222,3
13.13872,3
13.89125,0
14.59775,0
15.2576,3
16.27716,5
17.61164,2
18.96627,0
19.3761,3
19.89421,1
20.67057,3
21.01767,0
21.48378,4
22.12732,0
22.55477,3
23.01546,1
23.72627,3
24.12487,0
25.22959,0
25.22959,3
26.41499,5
27.13432,1
27.96899,4
28.68069,3
29.34404,7
29.34404,0
30.31548,6
30.31548,3
31.10505,0
31.77721,3
32.17905,0
34.15957,0
34.75248,3
35.70955,7
36.87269,4
38.27829,2
39.68127,1
40.83552,3
41.58546,0
42.92128,5
44.10816,2
44.68477,0
45.13129,3
46.14446,0
46.49243,3
46.9577,2
47.68089,0
48.33289,4
49.22512,0
49.58126,3
49.95755,1
50.78276,4
52.0206,1
53.28154,4
54.28267,1
55.42864,4
56.30968,1
57.40858,4
58.26847,1
59.36863,1
59.36863,4
