2.45747,0
3.826211,3
4.193692,0
5.086981,3
5.918907,3
7.059703,3
7.685445,7
9.415724,2
9.826565,3
10.59517,5
11.19224,3
12.16838,3
12.76217,1
13.63039,4
14.3663,1
15.13428,4
15.67949,0
16.35452,3
17.10126,2
17.56258,0
18.06586,5
19.29276,7
19.96951,3
20.62548,0
21.26175,6
22.85236,0
23.73664,3
24.30771,0
24.80115,3
26.4595,6
27.74579,3
28.49798,3
29.20209,5
30.1319,2
30.84893,1
31.68982,4
32.37265,1
33.17823,4
33.80619,3
34.90474,2
35.40819,0
36.06692,0
36.78569,0
37.12352,0
39.55409,0
40.06815,3
40.81895,0
